Donner l'année du début de la seconde guerre mondiale,1939,1945,1914,1918
Donner l'année de la fin de la seconde guerre mondiale,1945,1939,1918,1914
Donner l'année du début de la première guerre mondiale,1914,1939,1945,1918
Donner l'année de la fin de la première guerre mondiale,1918,1945,1939,1914
Donner l'année de la chute des deux tours jumelles,2001,2011,1998,1946
Donner l'année du premier pas sur la lune,1969,1923,1996,2001
Donner l'année  du sacre de Napoléon Bonaparte comme Empereur.,1804,2002,1840,1902
Donner l'année de la prise de la Bastille par les révolutionnaires français,1789,1685,1758,1764
Donner l'année de la découverte de l'Amérique,1492,264,1789,1523
Donner l'année du passage à l'euro en France,2002,1998,2018,2005
